timestamp,model,precision,recall,f1_score,roc_auc,pr_auc
2026-05-04 23:40:40,baseline_LR,0.7656304575619979,0.4053254437869822,0.5300447346149196,0.847661931013964,0.6496892936799534
2026-05-04 23:40:51,baseline_RF,0.489922480620155,0.7596153846153846,0.5956644674835061,0.8790994772139867,0.709473297090349
2026-05-04 23:40:52,baseline_XGB,0.4668848881614839,0.7912352071005917,0.5872503945652919,0.8862189654322878,0.7336869676944793
2026-05-04 23:40:59,enhanced_features_LR,0.7518939393939394,0.4404585798816568,0.5555037313432836,0.863162868980345,0.672096236847946
2026-05-04 23:41:10,enhanced_features_RF,0.4972026270980297,0.7559171597633136,0.5998532648569332,0.8806131033307116,0.7101887374596763
2026-05-04 23:41:11,enhanced_features_XGB,0.4734970552283587,0.7879068047337278,0.5915180120774624,0.8893628652037906,0.734173033496437
2026-05-04 23:41:12,no_degree_LR,0.7731462925851703,0.3566937869822485,0.4881690497279514,0.8097871642240415,0.6009880841729134
2026-05-04 23:41:19,no_degree_RF,0.4538568362580482,0.6647559171597633,0.5394253132267988,0.8295785974714033,0.6348157461833732
2026-05-04 23:41:20,no_degree_XGB,0.3922749454885266,0.698594674556213,0.5024270230733426,0.8171416834519338,0.6104148737372119
2026-05-04 23:54:40,baseline_LR,0.7656304575619979,0.4053254437869822,0.5300447346149196,0.847661931013964,0.6496892936799534
2026-05-04 23:54:54,baseline_RF,0.489922480620155,0.7596153846153846,0.5956644674835061,0.8790994772139867,0.709473297090349
2026-05-04 23:54:55,baseline_XGB,0.4668848881614839,0.7912352071005917,0.5872503945652919,0.8862189654322878,0.7336869676944793
2026-05-04 23:55:03,enhanced_features_LR,0.7518939393939394,0.4404585798816568,0.5555037313432836,0.863162868980345,0.672096236847946
2026-05-04 23:55:16,enhanced_features_RF,0.4972026270980297,0.7559171597633136,0.5998532648569332,0.8806131033307116,0.7101887374596763
2026-05-04 23:55:17,enhanced_features_XGB,0.4734970552283587,0.7879068047337278,0.5915180120774624,0.8893628652037906,0.734173033496437
2026-05-04 23:55:18,no_degree_LR,0.7731462925851703,0.3566937869822485,0.4881690497279514,0.8097871642240415,0.6009880841729134
2026-05-04 23:55:25,no_degree_RF,0.4538568362580482,0.6647559171597633,0.5394253132267988,0.8295785974714033,0.6348157461833732
2026-05-04 23:55:26,no_degree_XGB,0.3922749454885266,0.698594674556213,0.5024270230733426,0.8171416834519338,0.6104148737372119
2026-05-05 00:30:11,baseline_RF,0.489922480620155,0.7596153846153846,0.5956644674835061,0.8790994772139867,0.709473297090349
2026-05-05 00:30:23,enhanced_features_RF,0.4972026270980297,0.7559171597633136,0.5998532648569332,0.8806131033307116,0.7101887374596763
2026-05-05 00:39:01,baseline_LR,0.7656304575619979,0.4053254437869822,0.5300447346149196,0.847661931013964,0.6496892936799534
2026-05-05 00:39:13,baseline_RF,0.489922480620155,0.7596153846153846,0.5956644674835061,0.8790994772139867,0.709473297090349
2026-05-05 00:39:14,baseline_XGB,0.4668848881614839,0.7912352071005917,0.5872503945652919,0.8862189654322878,0.7336869676944793
2026-05-05 00:39:21,enhanced_features_LR,0.7518939393939394,0.4404585798816568,0.5555037313432836,0.863162868980345,0.672096236847946
2026-05-05 00:39:33,enhanced_features_RF,0.4972026270980297,0.7559171597633136,0.5998532648569332,0.8806131033307116,0.7101887374596763
2026-05-05 00:39:34,enhanced_features_XGB,0.4734970552283587,0.7879068047337278,0.5915180120774624,0.8893628652037906,0.734173033496437
2026-05-05 00:39:35,no_degree_LR,0.7731462925851703,0.3566937869822485,0.4881690497279514,0.8097871642240415,0.6009880841729134
2026-05-05 00:39:42,no_degree_RF,0.4538568362580482,0.6647559171597633,0.5394253132267988,0.8295785974714033,0.6348157461833732
2026-05-05 00:39:43,no_degree_XGB,0.3922749454885266,0.698594674556213,0.5024270230733426,0.8171416834519338,0.6104148737372119
2026-05-05 00:40:19,TUNED_XGB,0.8470219435736677,0.4996301775147929,0.6285182600604792,0.8920789309275531,0.7469800460670166
2026-05-05 00:56:07,baseline_LR,0.7656304575619979,0.4053254437869822,0.5300447346149196,0.847661931013964,0.6496892936799534
2026-05-05 00:56:20,baseline_RF,0.489922480620155,0.7596153846153846,0.5956644674835061,0.8790994772139867,0.709473297090349
2026-05-05 00:56:22,baseline_XGB,0.4668848881614839,0.7912352071005917,0.5872503945652919,0.8862189654322878,0.7336869676944793
2026-05-05 00:56:30,enhanced_features_LR,0.7518939393939394,0.4404585798816568,0.5555037313432836,0.863162868980345,0.672096236847946
2026-05-05 00:56:44,enhanced_features_RF,0.4972026270980297,0.7559171597633136,0.5998532648569332,0.8806131033307116,0.7101887374596763
2026-05-05 00:56:45,enhanced_features_XGB,0.4734970552283587,0.7879068047337278,0.5915180120774624,0.8893628652037906,0.734173033496437
2026-05-05 00:56:46,no_degree_LR,0.7731462925851703,0.3566937869822485,0.4881690497279514,0.8097871642240415,0.6009880841729134
2026-05-05 00:56:55,no_degree_RF,0.4538568362580482,0.6647559171597633,0.5394253132267988,0.8295785974714033,0.6348157461833732
2026-05-05 00:56:55,no_degree_XGB,0.3922749454885266,0.698594674556213,0.5024270230733426,0.8171416834519338,0.6104148737372119
2026-05-05 01:00:53,baseline_LR,0.7656304575619979,0.4053254437869822,0.5300447346149196,0.847661931013964,0.6496892936799534
2026-05-05 01:01:04,baseline_RF,0.489922480620155,0.7596153846153846,0.5956644674835061,0.8790994772139867,0.709473297090349
2026-05-05 01:01:05,baseline_XGB,0.4668848881614839,0.7912352071005917,0.5872503945652919,0.8862189654322878,0.7336869676944793
2026-05-05 01:01:12,enhanced_features_LR,0.7518939393939394,0.4404585798816568,0.5555037313432836,0.863162868980345,0.672096236847946
2026-05-05 01:01:23,enhanced_features_RF,0.4972026270980297,0.7559171597633136,0.5998532648569332,0.8806131033307116,0.7101887374596763
2026-05-05 01:01:24,enhanced_features_XGB,0.4734970552283587,0.7879068047337278,0.5915180120774624,0.8893628652037906,0.734173033496437
2026-05-05 01:01:25,no_degree_LR,0.7731462925851703,0.3566937869822485,0.4881690497279514,0.8097871642240415,0.6009880841729134
2026-05-05 01:01:32,no_degree_RF,0.4538568362580482,0.6647559171597633,0.5394253132267988,0.8295785974714033,0.6348157461833732
2026-05-05 01:01:33,no_degree_XGB,0.3922749454885266,0.698594674556213,0.5024270230733426,0.8171416834519338,0.6104148737372119
2026-05-05 01:02:09,TUNED_XGB,0.8470219435736677,0.4996301775147929,0.6285182600604792,0.8920789309275531,0.7469800460670166
2026-05-05 01:26:01,baseline_LR,0.7656304575619979,0.4053254437869822,0.5300447346149196,0.847661931013964,0.6496892936799534
2026-05-05 01:26:14,baseline_RF,0.489922480620155,0.7596153846153846,0.5956644674835061,0.8790994772139867,0.709473297090349
2026-05-05 01:26:15,baseline_XGB,0.4668848881614839,0.7912352071005917,0.5872503945652919,0.8862189654322878,0.7336869676944793
2026-05-05 01:26:22,enhanced_features_LR,0.7518939393939394,0.4404585798816568,0.5555037313432836,0.863162868980345,0.672096236847946
2026-05-05 01:26:34,enhanced_features_RF,0.4972026270980297,0.7559171597633136,0.5998532648569332,0.8806131033307116,0.7101887374596763
2026-05-05 01:26:35,enhanced_features_XGB,0.4734970552283587,0.7879068047337278,0.5915180120774624,0.8893628652037906,0.734173033496437
2026-05-05 01:26:35,no_degree_LR,0.7731462925851703,0.3566937869822485,0.4881690497279514,0.8097871642240415,0.6009880841729134
2026-05-05 01:26:42,no_degree_RF,0.4538568362580482,0.6647559171597633,0.5394253132267988,0.8295785974714033,0.6348157461833732
2026-05-05 01:26:43,no_degree_XGB,0.3922749454885266,0.698594674556213,0.5024270230733426,0.8171416834519338,0.6104148737372119
2026-05-05 01:27:20,TUNED_XGB,0.8470219435736677,0.4996301775147929,0.6285182600604792,0.8920789309275531,0.7469800460670166
